1	1	2	7	6	16	17	22	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2	3	8	7	17	18	23	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	3	4	9	8	18	19	24	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	4	5	10	9	19	20	25	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	6	7	12	11	21	22	27	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	7	8	13	12	22	23	28	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	8	9	14	13	23	24	29	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	9	10	15	14	24	25	30	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	16	17	22	21	31	32	37	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	17	18	23	22	32	33	38	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	18	19	24	23	33	34	39	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	19	20	25	24	34	35	40	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	21	22	27	26	36	37	42	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	22	23	28	27	37	38	43	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	23	24	29	28	38	39	44	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	24	25	30	29	39	40	45	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
