1	1	2	6	5	0	0	0	0	0
2	2	3	7	6	0	0	0	0	0
3	3	4	8	7	0	0	0	0	0
4	4	9	12	8	0	0	0	0	0
5	9	10	13	12	0	0	0	0	0
6	10	11	14	13	0	0	0	0	0
7	5	6	16	15	0	0	0	0	0
8	6	7	17	16	0	0	0	0	0
9	7	8	18	17	0	0	0	0	0
10	15	16	20	19	0	0	0	0	0
11	16	17	21	20	0	0	0	0	0
12	17	18	22	21	0	0	0	0	0
13	19	20	24	23	0	0	0	0	0
14	20	21	25	24	0	0	0	0	0
15	21	22	26	25	0	0	0	0	0
16	23	24	28	27	0	0	0	0	0
17	24	25	29	28	0	0	0	0	0
18	25	26	30	29	0	0	0	0	0
19	27	28	32	31	0	0	0	0	0
20	28	29	33	32	0	0	0	0	0
21	29	30	34	33	0	0	0	0	0
22	31	32	36	35	0	0	0	0	0
23	32	33	37	36	0	0	0	0	0
24	33	34	38	37	0	0	0	0	0
25	35	36	40	39	0	0	0	0	0
26	36	37	41	40	0	0	0	0	0
27	37	38	42	41	0	0	0	0	0
28	39	40	44	43	0	0	0	0	0
29	40	41	45	44	0	0	0	0	0
30	41	42	46	45	0	0	0	0	0
31	43	44	48	47	0	0	0	0	0
32	44	45	49	48	0	0	0	0	0
33	45	46	50	49	0	0	0	0	0
34	47	48	52	51	0	0	0	0	0
35	48	49	53	52	0	0	0	0	0
36	49	50	54	53	0	0	0	0	0
37	51	52	56	55	0	0	0	0	0
38	52	53	57	56	0	0	0	0	0
39	53	54	58	57	0	0	0	0	0
40	55	56	60	59	0	0	0	0	0
41	56	57	61	60	0	0	0	0	0
42	57	58	62	61	0	0	0	0	0
43	59	60	64	63	0	0	0	0	0
44	60	61	65	64	0	0	0	0	0
45	61	62	66	65	0	0	0	0	0
46	63	64	68	67	0	0	0	0	0
47	64	65	69	68	0	0	0	0	0
48	65	66	70	69	0	0	0	0	0
49	67	68	72	71	0	0	0	0	0
50	68	69	73	72	0	0	0	0	0
51	69	70	74	73	0	0	0	0	0
52	71	72	76	75	0	0	0	0	0
53	72	73	77	76	0	0	0	0	0
54	73	74	78	77	0	0	0	0	0
55	8	12	80	79	0	0	0	0	0
56	12	13	81	80	0	0	0	0	0
57	13	14	82	81	0	0	0	0	0
58	79	80	84	83	0	0	0	0	0
59	80	81	85	84	0	0	0	0	0
60	81	82	86	85	0	0	0	0	0
61	83	84	88	87	0	0	0	0	0
62	84	85	89	88	0	0	0	0	0
63	85	86	90	89	0	0	0	0	0
64	87	88	92	91	0	0	0	0	0
65	88	89	93	92	0	0	0	0	0
66	89	90	94	93	0	0	0	0	0
67	91	92	96	95	0	0	0	0	0
68	92	93	97	96	0	0	0	0	0
69	93	94	98	97	0	0	0	0	0
70	95	96	100	99	0	0	0	0	0
71	96	97	101	100	0	0	0	0	0
72	97	98	102	101	0	0	0	0	0
73	99	100	104	103	0	0	0	0	0
74	100	101	105	104	0	0	0	0	0
75	101	102	106	105	0	0	0	0	0
76	103	104	108	107	0	0	0	0	0
77	104	105	109	108	0	0	0	0	0
78	105	106	110	109	0	0	0	0	0
79	107	108	112	111	0	0	0	0	0
80	108	109	113	112	0	0	0	0	0
81	109	110	114	113	0	0	0	0	0
82	111	112	116	115	0	0	0	0	0
83	112	113	117	116	0	0	0	0	0
84	113	114	118	117	0	0	0	0	0
85	115	116	120	119	0	0	0	0	0
86	116	117	121	120	0	0	0	0	0
87	117	118	122	121	0	0	0	0	0
88	119	120	124	123	0	0	0	0	0
89	120	121	125	124	0	0	0	0	0
90	121	122	126	125	0	0	0	0	0
91	123	124	128	127	0	0	0	0	0
92	124	125	129	128	0	0	0	0	0
93	125	126	130	129	0	0	0	0	0
94	127	128	132	131	0	0	0	0	0
95	128	129	133	132	0	0	0	0	0
96	129	130	134	133	0	0	0	0	0
97	131	132	136	135	0	0	0	0	0
98	132	133	137	136	0	0	0	0	0
99	133	134	138	137	0	0	0	0	0
100	135	136	140	139	0	0	0	0	0
101	136	137	141	140	0	0	0	0	0
102	137	138	142	141	0	0	0	0	0
